Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"setText(findTestObject(""Page_GTPL Bank Home Page/input_()_uid""), ""mngr358145"")",Chrome 95.0.4638.54,,,2021-10-22 15:18:01,2021-10-22 15:18:01,0.838s,PASSED
"setText(findTestObject(""Page_GTPL Bank Home Page/input_()_password""), ""zytahur"")",Chrome 95.0.4638.54,,,2021-10-22 15:18:01,2021-10-22 15:18:02,0.693s,PASSED
"click(findTestObject(""Page_GTPL Bank Home Page/input_mandatory field_btnLogin""))",Chrome 95.0.4638.54,,,2021-10-22 15:18:02,2021-10-22 15:18:04,1.595s,PASSED
"click(findTestObject(""Page_Gtpl Bank New Customer Entry Page/a_New Customer""))",Chrome 95.0.4638.54,,,2021-10-22 15:18:04,2021-10-22 15:18:05,0.898s,PASSED
"setText(findTestObject(""Page_Gtpl Bank New Customer Entry Page/input__name""), cusName)",Chrome 95.0.4638.54,,,2021-10-22 15:18:05,2021-10-22 15:18:05,0.752s,PASSED
"click(findTestObject(""Page_Gtpl Bank New Customer Entry Page/textarea__addr""))",Chrome 95.0.4638.54,,,2021-10-22 15:18:05,2021-10-22 15:18:06,0.510s,PASSED
"verifyElementText(findTestObject(""Page_Gtpl Bank New Customer Entry Page/label_Customer name error""), error)",Chrome 95.0.4638.54,,,2021-10-22 15:18:06,2021-10-22 15:18:07,0.746s,FAILED
,,,,,,,
Test Cases/Verify Customer Name,Chrome 95.0.4638.54,,,2021-10-22 15:18:07,2021-10-22 15:18:18,11.555s,FAILED
"openBrowser("""")",Chrome 95.0.4638.54,,,2021-10-22 15:18:07,2021-10-22 15:18:09,2.779s,PASSED
"navigateToUrl(""http://demo.guru99.com/v1/"")",Chrome 95.0.4638.54,,,2021-10-22 15:18:09,2021-10-22 15:18:12,2.620s,PASSED
"setText(findTestObject(""Page_GTPL Bank Home Page/input_()_uid""), ""mngr358145"")",Chrome 95.0.4638.54,,,2021-10-22 15:18:12,2021-10-22 15:18:13,0.846s,PASSED
"setText(findTestObject(""Page_GTPL Bank Home Page/input_()_password""), ""zytahur"")",Chrome 95.0.4638.54,,,2021-10-22 15:18:13,2021-10-22 15:18:14,0.745s,PASSED
"click(findTestObject(""Page_GTPL Bank Home Page/input_mandatory field_btnLogin""))",Chrome 95.0.4638.54,,,2021-10-22 15:18:14,2021-10-22 15:18:15,1.531s,PASSED
"click(findTestObject(""Page_Gtpl Bank New Customer Entry Page/a_New Customer""))",Chrome 95.0.4638.54,,,2021-10-22 15:18:15,2021-10-22 15:18:16,1.004s,PASSED
"setText(findTestObject(""Page_Gtpl Bank New Customer Entry Page/input__name""), cusName)",Chrome 95.0.4638.54,,,2021-10-22 15:18:16,2021-10-22 15:18:17,0.774s,PASSED
"click(findTestObject(""Page_Gtpl Bank New Customer Entry Page/textarea__addr""))",Chrome 95.0.4638.54,,,2021-10-22 15:18:17,2021-10-22 15:18:17,0.526s,PASSED
"verifyElementText(findTestObject(""Page_Gtpl Bank New Customer Entry Page/label_Customer name error""), error)",Chrome 95.0.4638.54,,,2021-10-22 15:18:17,2021-10-22 15:18:18,0.713s,FAILED
